verify_date_raw,verify_date_raw_count,verify_date_type,verify_date,verify_date_start,verify_date_end,verify_date_prepost,verify_date_notes
Sep 2014 - Apr 2015,1,range,,2014-09-01,2015-04-30,,
Sep 2015 - Apr 2016,1,range,,2015-09-01,2016-04-30,,
Sep-14,1,month,,2014-09-01,2014-09-30,,
Sep-21,1,month,,2021-09-01,2021-09-30,,
Sep-March 2021-22,1,range,,2021-09-01,2022-03-31,,
Sept - Oct 2018,1,range,,2018-09-01,2018-10-31,,
Sept 2020-Jan2021,1,range,,2020-09-01,2021-01-31,,
Sept 2021- March 2022,1,range,,2021-09-01,2022-03-31,,
Spring 2023,1,semester,,2023-05-01,2023-06-30,,
Summer 2010,1,semester,,2010-07-01,2010-08-31,,
Summer 2015 (Jun5-Jul10),1,range,,2015-06-05,2015-07-10,,
"Summer, 2020",1,semester,,2020-07-01,2020-08-31,,
pre 2007,1,pre_year,,,,2007,
pre Oct 2007,1,pre_month,,,,2007-10,
April-May 2021,19,range,,2021-04-01,2021-05-31,,Some previously had no year
April-May 2022,1,range,,2022-04-01,2022-05-31,,Previously had no year
